word1,word2,count,Cn1,Prob
bird,abbi,1,3,0.083412867
bird,crack,1,3,0.083651467
bird,fight,1,3,0.083651467
bit,adventur,1,11,0.022806806
bit,along,1,11,0.023045406
bit,coupl,1,11,0.02312494
bit,dusti,1,11,0.022806806
bit,go,1,11,0.026385809
bit,lime,1,11,0.02288634
bit,now,1,11,0.024636074
bit,older,1,11,0.022806806
bit,qi,1,11,0.022806806
bit,research,1,11,0.02288634
bit,work,1,11,0.025113275
bitch,sunday,1,1,0.2504772
bitter,sweet,1,1,0.250318134
bl,knight,1,1,0.2502386
black,adult,1,10,0.025318134
black,asian,1,10,0.025079533
black,bean,1,10,0.025079533
black,cloth,1,10,0.0252386
black,cut,1,10,0.025874867
black,friday,1,10,0.025556734
black,men,1,10,0.025397667
black,race,1,10,0.0252386
black,spo,1,10,0.0252386
black,white,1,10,0.025556734
blackberri,nyti,1,1,0.250079533
blake,cypress,1,1,0.250079533
blakeman,ingl,1,1,0.250079533
blame,capit,1,1,0.250079533
blatant,wrong,1,1,0.250397667
bleed,time,1,1,0.253897137
block,apa,1,4,0.0627386
block,employe,1,4,0.062818134
block,way,1,4,0.063931601
block,wow,1,4,0.063056734
blog,flood,1,3,0.0834924
blog,type,1,3,0.083571934
blog,well,1,3,0.085003535
blogrol,organ,1,1,0.250318134
bloodi,night,1,1,0.251033934
bloom,featheri,1,1,0.250079533
blow,inning,1,1,0.250318134
blue,soar,1,3,0.0834924
blue,stare,1,3,0.083412867
blue,wall,1,3,0.083969601
board,disguis,1,3,0.083412867
board,need,1,3,0.085321668
board,profession,1,3,0.0834924
boast,color,1,1,0.2502386
bob,anyth,1,2,0.125795334
bob,topp,1,2,0.125079533
bodi,cach,1,4,0.0629772
bodi,inhibit,1,4,0.062579533
